Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,What Type of Surface is the Graffiti on?,Where is the Graffiti located?,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,SSA,Latitude,Longitude,Location
08/31/2017,Completed,08/31/2017,17-05804543,Graffiti Removal,Brick - Unpainted,Front,4141 S MOZART ST,60632,1157986.289988,1877038.36001775,12,9,58,39,41.81793552025300,-87.69558209775060,"(41.817935520253, -87.695582097751)"
08/31/2017,Completed,08/31/2017,17-05808004,Graffiti Removal,Brick - Painted,Side,745 N ASHLAND AVE,60622,1165590.71239389,1905165.18640445,1,12,24,29,41.895712527350100,-87.6671345409007,"(41.89571252735, -87.667134540901)"
08/29/2017,Completed,08/31/2017,17-05780768,Graffiti Removal,Aluminum Siding,Alley,3641 W 82ND ST,60652,1153512.52002554,1849970.0500224,18,8,70,,41.74403439709910,-87.71367497530770,"(41.744034397099, -87.713674975308)"
08/31/2017,Completed,08/31/2017,17-05808456,Graffiti Removal,Tree,Front,2901 W 40TH ST,60632,1157672.89512846,1877988.56056891,12,9,58,,41.820843373079600,-87.69718538774320,"(41.82084337308, -87.697185387743)"
08/31/2017,Completed,08/31/2017,17-05812547,Graffiti Removal,Metal - Painted,Pole,3600 W 115TH ST,60655,1154436.65373244,1828097.49339548,19,22,74,,41.6842203030117,-87.71035287618450,"(41.684220303012, -87.710352876184)"
08/28/2017,Completed,08/31/2017,17-05757404,Graffiti Removal,Brick - Painted,Rear,7700 S KEDZIE AVE,60652,1156379.54942448,1853379.37997917,18,8,70,,41.753356980012000,-87.70264255048960,"(41.753356980012, -87.70264255049)"
08/31/2017,Completed,08/31/2017,17-05806445,Graffiti Removal,Metal - Painted,Pole,5958 W FULLERTON AVE,60639,1136194.86031852,1915331.2357055,30,25,19,,41.923937319159200,-87.77565802639060,"(41.923937319159, -87.775658026391)"
08/31/2017,Completed,08/31/2017,17-05811532,Graffiti Removal,Metal - Painted,Front,3306 S HALSTED ST,60608,1171507.07441189,1883004.51002191,11,9,60,,41.83457472739940,-87.6463430988073,"(41.834574727399, -87.646343098807)"
08/31/2017,Completed,08/31/2017,17-05806956,Graffiti Removal,Metal - Painted,Door,2531 W FOSTER AVE,60625,1158397.04880746,1934445.42991388,40,20,4,,41.975748741458900,-87.69349392028360,"(41.975748741459, -87.693493920284)"
08/31/2017,Completed,08/31/2017,17-05808383,Graffiti Removal,Metal - Painted,Front,4900 S RIDGEWAY AVE,60632,1152221.00499601,1871419.39890871,14,8,57,,41.80300166829890,-87.71740908278370,"(41.803001668299, -87.717409082784)"
08/31/2017,Completed,08/31/2017,17-05812533,Graffiti Removal,Metal - Painted,Sign,11226 S CENTRAL PARK AVE,60655,1154373.88246872,1829805.05058361,19,22,74,,41.688711266643000,-87.71061678057650,"(41.688711266643, -87.710616780576)"
08/31/2017,Completed,08/31/2017,17-05805427,Graffiti Removal,Metal - Painted,Traffic Control Box,3121 S ASHLAND AVE,60608,1166176.11846579,1883936.14847147,12,9,59,13,41.83720655951830,-87.6655852517904,"(41.837206559518, -87.66558525179)"
08/31/2017,Completed,08/31/2017,17-05806782,Graffiti Removal,Metal - Painted,Front,6859 N WESTERN AVE,60645,1159071.34831385,1945573.54997964,50,24,2,,42.00623830091460,-87.68995151304690,"(42.006238300915, -87.689951513047)"
08/31/2017,Completed,08/31/2017,17-05804763,Graffiti Removal,Metal - Painted,Traffic Control Box,3036 N CICERO AVE,60641,1143841.88197541,1919876.90008995,31,25,19,,41.936310614778900,-87.74693442711430,"(41.936310614779, -87.746934427114)"
08/30/2017,Completed,08/31/2017,17-05792439,Graffiti Removal,Metal - Painted,Pole,701 W DIVERSEY PKWY,60614,1171081.28992796,1918837.61279374,43,19,7,,41.932655004076800,-87.64671463849810,"(41.932655004077, -87.646714638498)"
08/31/2017,Completed,08/31/2017,17-05805279,Graffiti Removal,Metal - Painted,Sign,3025 W 83RD ST,60652,1157543.80999791,1849419.48031635,18,8,70,,41.7424518352367,-87.69825846363920,"(41.742451835237, -87.698258463639)"
08/29/2017,Completed,08/31/2017,17-05782914,Graffiti Removal,Brick - Unpainted,Side,2227 S STATE ST,60616,1176663.20797933,1889588.0153252,3,1,33,,41.85205443995890,-87.62692399416280,"(41.852054439959, -87.626923994163)"
08/31/2017,Completed,08/31/2017,17-05810155,Graffiti Removal,Metal - Painted,Traffic Control Box,1800 S ASHLAND AVE,60608,1166005.83250397,1891476.29021386,25,12,31,,41.85774876931770,-87.66628521769650,"(41.857748769318, -87.666285217697)"
04/04/2018,Completed,04/04/2018,18-01123514,Graffiti Removal,Wood - Unpainted,Bench,3280 N MILWAUKEE AVE,60618,1149394.37031404,1921532.67969487,30,17,21,,41.94055767641610,-87.72648179933000,"(41.940557676416, -87.72648179933)"
08/30/2017,Completed,08/31/2017,17-05786260,Graffiti Removal,Metal - Unpainted,Garage,1801 S CARPENTER ST,60608,1169526.88991074,1891568.15487874,25,12,31,,41.85796783258500,-87.65306414561940,"(41.857967832585, -87.653064145619)"
08/30/2017,Completed,08/31/2017,17-05792813,Graffiti Removal,Brick - Unpainted,Rear,4134 W IRVING PARK RD,60641,1148199.84253044,1926265.43320877,45,17,16,,41.9537294779698,-87.7306177238774,"(41.95372947797, -87.730617723877)"
08/30/2017,Completed,08/31/2017,17-05790183,Graffiti Removal,Brick - Painted,Rear,500 W 45TH ST,60609,1173710.11112443,1875087.51732301,11,9,61,,41.81276136353190,-87.63847045345040,"(41.812761363532, -87.63847045345)"
04/03/2018,Completed,04/04/2018,18-01110854,Graffiti Removal,Metal - Painted,Pole,3800 S KEDZIE AVE,60632,1155658.52537301,1879230.3615698,12,9,58,,41.82435630760820,-87.7045936543129,"(41.824356307608, -87.704593654313)"
08/30/2017,Completed,08/31/2017,17-05789841,Graffiti Removal,Brick - Unpainted,Front,3312 W POTOMAC AVE,60651,1154045.33339262,1908456.12703162,26,14,23,,41.90474102605460,-87.70987070912870,"(41.904741026055, -87.709870709129)"
